order_datetime,qty,gender,state,city,age,category,price,dp_ratings,prod_rating,delivery_service_rating,sup_name,transaction_mode,tran_status,target,return_probability
2024-02-27 22:02:00,1,male,maharashtra,mumbai,67,fitness,330.13,3.2,1.0,3.0,ecomgenix suppliers,upi,successful,1,0.1981162076970643
2023-10-26 04:02:44,7,male,andhra pradesh,visakhapatnam,28,electronics,124.24,3.5,5.0,4.0,nextwave merchants,wallet,successful,0,0.017663206242476928
2023-10-26 04:02:44,7,male,andhra pradesh,visakhapatnam,28,electronics,124.24,3.5,5.0,1.0,nextwave merchants,wallet,successful,0,0.01583065737087538
2023-10-26 04:02:44,7,male,andhra pradesh,visakhapatnam,28,electronics,124.24,3.5,2.0,5.0,nextwave merchants,wallet,successful,0,0.018156435613598275
2023-05-18 23:41:25,9,female,maharashtra,thane,32,fitness,67.51,4.6,0.0,0.0,pack&go logistics,credit card,successful,0,0.00720469778792948
2024-10-07 10:07:44,3,male,uttar pradesh,ghaziabad,56,books,198.54,4.4,0.0,0.0,quickpick wholesalers,wallet,successful,0,0.023734957506185612
2024-02-29 20:39:10,4,female,uttar pradesh,lucknow,34,fashion,224.27,4.8,4.0,4.0,ecomgenix suppliers,upi,successful,0,0.08451626166258613
2024-10-27 00:37:51,3,female,telangana,hyderabad,21,home appliance,311.62,3.4,0.0,0.0,metroshop suppliers,wallet,successful,0,0.3345435516481645
2024-12-08 21:56:45,8,male,gujarat,vadodara,50,books,244.19,4.6,0.0,0.0,urbanmarket co.,upi,successful,0,0.04181126066274169
2024-07-05 18:26:15,3,male,maharashtra,mumbai,34,fashion,304.07,4.8,0.0,0.0,shopease suppliers,upi,successful,0,0.2456408572899621
2024-09-09 01:05:38,1,male,uttar pradesh,ghaziabad,68,electronics,146.41,4.2,3.0,3.0,swiftdeal suppliers,credit card,successful,0,0.0067469729023039325
2024-09-09 01:05:38,1,male,uttar pradesh,ghaziabad,68,electronics,146.41,4.2,3.0,3.0,swiftdeal suppliers,debit card,successful,0,0.006529267635659421
2024-07-13 07:17:50,6,female,west bengal,kolkata,65,electronics,276.47,4.9,0.0,0.0,digicart distributors,credit card,successful,0,0.04437572525614514
2023-03-18 17:38:25,10,female,gujarat,surat,43,fitness,240.01,4.0,5.0,5.0,zoomkart distributors,debit card,successful,1,0.06485887155961208
2023-03-18 17:38:25,10,female,gujarat,surat,43,fitness,240.01,4.0,5.0,5.0,zoomkart distributors,debit card,successful,1,0.06485887155961208
2023-03-26 12:33:08,10,female,uttar pradesh,kanpur,41,fitness,172.76,3.5,2.0,4.0,buynow direct,net banking,successful,1,0.024521278011930058
2023-03-26 12:33:08,10,female,uttar pradesh,kanpur,41,fitness,172.76,3.5,4.0,4.0,buynow direct,net banking,successful,1,0.02466664293990773
2024-09-12 12:58:00,10,female,rajasthan,jaipur,21,fashion,307.55,3.3,4.0,4.0,digicart distributors,credit card,successful,0,0.26280588330007243
2024-09-12 12:58:00,10,female,rajasthan,jaipur,21,fashion,307.55,3.3,1.0,5.0,digicart distributors,credit card,successful,0,0.2682750359834516
2024-09-05 23:49:24,9,female,gujarat,surat,59,books,57.04,3.4,1.0,5.0,instaretail hub,wallet,successful,0,0.0014110309306056385
2024-09-05 23:49:24,9,female,gujarat,surat,59,books,57.04,3.4,2.0,2.0,instaretail hub,wallet,successful,0,0.0012662961840428366
2024-03-29 09:43:50,8,female,madhya pradesh,bhopal,49,home appliance,260.68,4.2,0.0,0.0,nextwave merchants,net banking,successful,1,0.06578900605995762
2023-05-17 03:27:02,10,female,west bengal,kolkata,66,fitness,236.67,4.8,0.0,0.0,swiftdeal suppliers,net banking,successful,0,0.019433090231498237
2024-01-20 18:23:56,10,female,maharashtra,pune,48,home appliance,280.28,3.5,3.0,5.0,ecomgenix suppliers,debit card,successful,0,0.08494778868711773
2024-01-20 18:23:56,10,female,maharashtra,pune,48,home appliance,280.28,3.5,3.0,5.0,ecomgenix suppliers,upi,successful,0,0.08599502975378466
2024-07-27 21:45:24,9,male,west bengal,kolkata,43,home appliance,225.58,5.0,0.0,0.0,smartshop network,wallet,successful,0,0.03821470527328768
2023-09-10 21:41:07,9,male,maharashtra,pune,60,electronics,214.66,4.3,2.0,1.0,smartkart wholesale,credit card,successful,0,0.01599343435352391
2023-09-26 21:14:46,4,female,maharashtra,mumbai,28,books,389.08,4.0,1.0,3.0,smartkart wholesale,debit card,successful,0,0.5959439307676496
2024-08-24 01:58:12,6,male,telangana,hyderabad,51,electronics,61.14,4.6,2.0,5.0,elite ecom ventures,debit card,successful,0,0.0027991160051637626
2024-08-24 01:58:12,6,male,telangana,hyderabad,51,electronics,61.14,4.6,2.0,5.0,elite ecom ventures,wallet,successful,0,0.0028219863664540592
2024-10-24 16:42:49,7,female,gujarat,vadodara,35,fitness,321.98,4.3,1.0,5.0,ecomedge retail,net banking,successful,1,0.2557380054237256
2023-12-08 11:04:50,4,male,maharashtra,thane,21,home appliance,154.31,4.2,5.0,2.0,shopease suppliers,wallet,successful,1,0.06588233101269342
2023-12-08 11:04:50,4,male,maharashtra,thane,21,home appliance,154.31,4.2,5.0,2.0,shopease suppliers,wallet,successful,1,0.06588233101269342
2024-02-26 16:30:23,9,male,gujarat,vadodara,21,books,389.91,3.3,5.0,5.0,cartcraze ventures,credit card,successful,1,0.6937468134097238
2024-02-26 16:30:23,9,male,gujarat,vadodara,21,books,389.91,3.3,4.0,5.0,cartcraze ventures,credit card,successful,1,0.6931027134637888
2024-07-08 01:03:37,2,female,gujarat,ahmedabad,49,fitness,316.22,3.2,2.0,5.0,elite ecom ventures,wallet,successful,0,0.23217813299867304
2024-07-08 01:03:37,2,female,gujarat,ahmedabad,49,fitness,316.22,3.2,4.0,3.0,elite ecom ventures,wallet,successful,0,0.22024155035728593
2023-09-13 20:45:58,3,female,maharashtra,pune,30,fashion,44.2,3.7,5.0,1.0,digicart distributors,credit card,successful,0,0.0057440421490008685
2023-03-11 21:23:02,1,female,maharashtra,thane,59,fitness,65.97,4.2,0.0,0.0,pack&go logistics,credit card,successful,1,0.005157710660452821
2023-03-11 21:23:02,1,female,maharashtra,thane,59,fitness,65.97,4.2,0.0,0.0,pack&go logistics,debit card,successful,1,0.0049910285986121085
2023-03-11 21:23:02,1,female,maharashtra,thane,59,fitness,65.97,4.2,0.0,0.0,pack&go logistics,wallet,successful,1,0.005031717758993884
2024-10-05 10:24:29,2,male,telangana,hyderabad,60,electronics,367.6,4.9,3.0,2.0,urbancart traders,wallet,successful,0,0.2558534737097056
2023-08-12 09:02:57,10,male,andhra pradesh,visakhapatnam,37,electronics,106.08,3.6,3.0,5.0,digicart distributors,upi,successful,0,0.007865118764817422
2023-08-12 09:02:57,10,male,andhra pradesh,visakhapatnam,37,electronics,106.08,3.6,3.0,3.0,digicart distributors,upi,successful,0,0.007306283132918974
2023-07-25 01:10:20,8,female,bihar,patna,40,books,484.44,4.2,0.0,0.0,quickpick wholesalers,credit card,successful,0,0.769279595891015
