or_id,status
or_31000001,returned
or_31000002,delivered
or_31000003,delivered
or_31000004,returned
or_31000005,delivered
or_31000006,delivered
or_31000007,delivered
or_31000008,delivered
or_31000009,returned
or_31000010,delivered
or_31000011,delivered
or_31000012,returned
or_31000013,returned
or_31000014,delivered
or_31000015,delivered
or_31000016,returned
or_31000017,delivered
or_31000018,delivered
or_31000019,delivered
or_31000020,delivered
or_31000021,delivered
or_31000022,delivered
or_31000023,delivered
or_31000024,delivered
or_31000025,delivered
or_31000026,delivered
or_31000027,returned
or_31000028,returned
or_31000029,returned
or_31000030,returned
or_31000031,delivered
or_31000032,delivered
or_31000033,delivered
or_31000034,delivered
or_31000035,delivered
or_31000036,returned
or_31000037,delivered
or_31000038,delivered
or_31000039,returned
or_31000040,delivered
or_31000041,delivered
or_31000042,delivered
or_31000043,delivered
or_31000044,delivered
or_31000045,delivered
or_31000046,delivered
or_31000047,delivered
or_31000048,delivered
or_31000049,delivered
or_31000050,delivered
or_31000051,returned
or_31000052,delivered
or_31000053,returned
or_31000054,returned
or_31000054,returned
or_31000055,delivered
or_31000056,returned
or_31000057,returned
or_31000058,delivered
or_31000059,delivered
or_31000060,delivered
or_31000061,returned
or_31000062,delivered
or_31000063,returned
or_31000064,delivered
or_31000065,delivered
or_31000066,delivered
or_31000067,returned
or_31000068,delivered
or_31000069,delivered
or_31000070,delivered
or_31000071,returned
or_31000071,returned
or_31000072,delivered
or_31000073,delivered
or_31000074,delivered
or_31000075,delivered
or_31000076,delivered
or_31000077,delivered
or_31000078,delivered
or_31000079,returned
or_31000080,delivered
or_31000081,delivered
or_31000082,delivered
or_31000083,delivered
or_31000084,delivered
or_31000085,delivered
or_31000086,delivered
or_31000087,returned
or_31000088,returned
or_31000089,delivered
or_31000090,delivered
or_31000091,returned
or_31000092,returned
or_31000093,returned
or_31000094,delivered
or_31000095,delivered
or_31000096,delivered
or_31000097,delivered
or_31000098,delivered
or_31000099,delivered
or_31000100,returned
or_31000101,delivered
or_31000102,delivered
or_31000103,delivered
or_31000104,delivered
or_31000105,returned
or_31000106,delivered
or_31000107,delivered
or_31000108,delivered
or_31000109,delivered
or_31000110,delivered
or_31000111,delivered
or_31000112,delivered
or_31000113,delivered
or_31000114,delivered
or_31000115,delivered
or_31000116,delivered
or_31000117,delivered
or_31000118,delivered
or_31000119,delivered
or_31000120,delivered
or_31000121,delivered
or_31000122,delivered
or_31000123,delivered
or_31000124,delivered
or_31000125,delivered
or_31000126,delivered
or_31000127,delivered
or_31000128,delivered
or_31000129,delivered
or_31000130,returned
or_31000130,returned
or_31000131,returned
or_31000132,returned
or_31000133,delivered
or_31000134,delivered
or_31000135,returned
or_31000136,delivered
or_31000137,returned
